location,population,date,HighestInfectionCount,PercentPopulationInfected
Luxembourg,625976,3/30/2021,61255,9.78551893363324
Andorra,77265,12/19/2020,7560,9.78450786255096
San Marino,33938,2/15/2021,3317,9.77370499145501
United States,331002647,4/30/2021,32346971,9.77242064169958
Serbia,6804596,4/19/2021,664972,9.77239501066632
Bahrain,1701583,4/20/2021,166157,9.76484837942081
Czechia,10708982,2/9/2021,1045132,9.75939636465912
Luxembourg,625976,3/29/2021,61073,9.75644433652408
United States,331002647,4/29/2021,32289049,9.75492168798275
Montenegro,628062,1/30/2021,61202,9.74457935681509
Slovenia,2078932,3/17/2021,202573,9.74408975377742
United States,331002647,4/28/2021,32230850,9.73733904913455
Serbia,6804596,4/18/2021,662368,9.73412675785601
Andorra,77265,12/18/2020,7519,9.73144373260856
United States,331002647,4/27/2021,32175725,9.72068510376595
United States,331002647,4/26/2021,32124869,9.70532087618018
Bahrain,1701583,4/19/2021,165118,9.70378759073169
Serbia,6804596,4/17/2021,660299,9.70372083809237
Slovenia,2078932,3/16/2021,201497,9.69233240914085
United States,331002647,4/25/2021,32077178,9.69091283430129
Czechia,10708982,2/8/2021,1037405,9.6872419806103
Israel,8655541,4/30/2021,838481,9.68721654718059
Israel,8655541,4/29/2021,838407,9.68636160350924
Israel,8655541,4/28/2021,838323,9.68539112690934
Montenegro,628062,1/29/2021,60827,9.68487187570654
Israel,8655541,4/27/2021,838217,9.68416647786661
Israel,8655541,4/26/2021,838107,9.68289561565245
Israel,8655541,4/25/2021,838024,9.6819366923454
Israel,8655541,4/24/2021,837974,9.6813590277026
United States,331002647,4/24/2021,32045113,9.68122560059165
Israel,8655541,4/23/2021,837892,9.68041165768841
Israel,8655541,4/22/2021,837807,9.67942962779565
Israel,8655541,4/21/2021,837492,9.67579034054602
Israel,8655541,4/20/2021,837357,9.67423064601046
Israel,8655541,4/19/2021,837218,9.67262473830348
Israel,8655541,4/18/2021,837047,9.6706491252251
Israel,8655541,4/16/2021,836936,9.66936670971809
Israel,8655541,4/15/2021,836902,9.66897389776098
Israel,8655541,4/17/2021,836883,9.66875438519672
Serbia,6804596,4/16/2021,657716,9.66576120022408
Israel,8655541,4/14/2021,836590,9.66536927038992
United States,331002647,4/23/2021,31991750,9.66510397725007
Czechia,10708982,2/7/2021,1034975,9.66455074814768
Andorra,77265,12/17/2020,7466,9.66284863780496
Israel,8655541,4/13/2021,836334,9.66241162741878
Israel,8655541,4/12/2021,836158,9.66037824787613
Luxembourg,625976,3/26/2021,60465,9.65931601211548
Luxembourg,625976,3/27/2021,60465,9.65931601211548
Luxembourg,625976,3/28/2021,60465,9.65931601211548
San Marino,33938,2/12/2021,3278,9.65878955742825
San Marino,33938,2/13/2021,3278,9.65878955742825
